feature,coefficient,abs_coef,block
reserves_months,-0.4087295998196547,0.4087295998196547,macro
current_account_gdp,-0.2738298931124479,0.2738298931124479,macro
current_account_gdp_lag1,-0.18597051706748607,0.18597051706748607,macro
avg_tone_roll_mean_3y,-0.12726248933429518,0.12726248933429518,text
avg_tone_roll_std_3y,0.12471305560571191,0.12471305560571191,text
external_debt_gni,0.11316562598039362,0.11316562598039362,macro
inflation,0.08055519996932643,0.08055519996932643,macro
debt_to_gdp_change,0.07400430685578142,0.07400430685578142,macro
gdp_growth_roll_std_3y,0.05252137961792509,0.05252137961792509,macro
avg_tone_lag3,-0.04904818476153153,0.04904818476153153,text
external_debt_gni_change,0.04240058259193334,0.04240058259193334,macro
avg_mentions,0.03816830937765828,0.03816830937765828,text
external_debt_gni_lag3,-0.03351445794898382,0.03351445794898382,macro
avg_tone,-0.01670346612057422,0.01670346612057422,text
inflation_lag3,0.014731475644573057,0.014731475644573057,macro
conflict_event_share,0.0039223807650692714,0.0039223807650692714,text
avg_goldstein,0.0,0.0,text
avg_goldstein_lag1,0.0,0.0,text
avg_goldstein_lag2,0.0,0.0,text
avg_goldstein_lag3,0.0,0.0,text
avg_tone_lag1,0.0,0.0,text
avg_tone_lag2,0.0,0.0,text
debt_to_gdp_lag1,0.0,0.0,macro
debt_to_gdp,0.0,0.0,macro
current_account_gdp_lag3,0.0,0.0,macro
conflict_events_lag2,0.0,0.0,text
conflict_events_lag3,0.0,0.0,text
conflict_events,0.0,0.0,text
divergence_index_lag2,0.0,0.0,satellite
divergence_index_lag1,0.0,0.0,satellite
divergence_index_lag3,0.0,0.0,satellite
econ_event_share,0.0,0.0,text
econ_event_share_lag3,0.0,0.0,text
economic_events,0.0,0.0,text
econ_event_share_lag1,0.0,0.0,text
econ_event_share_lag2,0.0,0.0,text
economic_events_lag2,0.0,0.0,text
economic_events_lag1,0.0,0.0,text
economic_events_lag3,0.0,0.0,text
debt_to_gdp_lag2,0.0,0.0,macro
debt_to_gdp_lag3,0.0,0.0,macro
divergence_index,0.0,0.0,satellite
current_account_gdp_lag2,0.0,0.0,macro
conflict_events_lag1,0.0,0.0,text
external_debt_gni_lag2,0.0,0.0,macro
external_debt_gni_lag1,0.0,0.0,macro
exchange_rate_roll_mean_3y,0.0,0.0,macro
exchange_rate_roll_std_3y,0.0,0.0,macro
exchange_rate,0.0,0.0,macro
gdp_growth_lag2,0.0,0.0,macro
gdp_growth_roll_mean_3y,0.0,0.0,macro
gdp_growth_lag1,0.0,0.0,macro
gdp_growth_lag3,0.0,0.0,macro
inflation_lag1,0.0,0.0,macro
inflation_lag2,0.0,0.0,macro
nightlight_growth,0.0,0.0,satellite
nightlight_growth_lag1,0.0,0.0,satellite
nightlight_growth_lag2,0.0,0.0,satellite
nightlight_growth_lag3,0.0,0.0,satellite
gdp_growth,0.0,0.0,macro
nightlight_growth_roll_mean_3y,0.0,0.0,satellite
nightlight_growth_roll_std_3y,0.0,0.0,satellite
nightlight_raw_lag1,0.0,0.0,satellite
nightlight_raw,0.0,0.0,satellite
nightlight_raw_lag2,0.0,0.0,satellite
nightlight_raw_lag3,0.0,0.0,satellite
protest_events,0.0,0.0,text
reserves_months_change,0.0,0.0,macro
reserves_months_lag1,0.0,0.0,macro
reserves_months_lag2,0.0,0.0,macro
reserves_months_lag3,0.0,0.0,macro
tone_change,0.0,0.0,text
tone_change_lag1,0.0,0.0,text
tone_change_lag2,0.0,0.0,text
tone_change_lag3,0.0,0.0,text
total_events,0.0,0.0,text
